n_neighbors,user_weight,game_weight,top_k,train_genre_precision,train_genre_recall,train_genre_hit_rate,test_genre_precision,test_genre_recall,test_genre_hit_rate,num_evaluated_users
10,0.3,0.7,5,0.6766666666666666,0.7405555555555555,1.0,0.4260714285714286,0.7716666666666667,1.0,10
10,0.3,0.7,10,0.8188522588522588,0.8098737373737374,1.0,0.33785103785103787,0.8666666666666666,0.9,10
10,0.5,0.5,5,0.7138095238095238,0.6925324675324676,1.0,0.43436507936507934,0.8438888888888888,1.0,10
10,0.5,0.5,10,0.708015873015873,0.9007070707070708,1.0,0.459484126984127,0.9349999999999999,1.0,10
10,0.7,0.3,5,0.7206349206349205,0.6621031746031746,1.0,0.4992063492063491,0.8714285714285713,1.0,10
10,0.7,0.3,10,0.7678571428571429,0.8455519480519481,1.0,0.3790476190476191,0.9,1.0,10
20,0.3,0.7,5,0.7879365079365079,0.6151875901875902,1.0,0.41908730158730156,0.74,1.0,10
20,0.3,0.7,10,0.7623701298701299,0.8427380952380954,1.0,0.3549134199134199,0.9550000000000001,1.0,10
20,0.5,0.5,5,0.7187301587301588,0.6239682539682538,1.0,0.434920634920635,0.8400000000000001,1.0,10
20,0.5,0.5,10,0.8335317460317461,0.7182142857142858,1.0,0.4013888888888889,0.7697619047619046,1.0,10
20,0.7,0.3,5,0.8183730158730158,0.6956746031746032,1.0,0.4579761904761905,0.7182142857142856,1.0,10
20,0.7,0.3,10,0.658888888888889,0.8166666666666667,1.0,0.3377777777777778,0.95,1.0,10
30,0.3,0.7,5,0.9377777777777778,0.6185925185925185,1.0,0.3069444444444444,0.5766666666666667,0.8,10
30,0.3,0.7,10,0.8512698412698413,0.8212698412698411,1.0,0.3559126984126984,0.85,1.0,10
30,0.5,0.5,5,0.7635714285714286,0.6578174603174605,1.0,0.4442857142857143,0.7683333333333333,0.9,10
30,0.5,0.5,10,0.8067460317460317,0.7736363636363637,1.0,0.4257539682539683,0.8433333333333334,1.0,10
30,0.7,0.3,5,0.7948809523809524,0.5720851370851371,1.0,0.5020238095238095,0.7416666666666667,1.0,10
30,0.7,0.3,10,0.7757142857142857,0.8243506493506494,1.0,0.3925396825396825,0.9380952380952381,1.0,10
